model,MSE,RMSE,MAE,R2
Random Forest Regression,7.890017921568628,2.808917571159508,2.0380980392156864,0.8924095064846252
MLP Regression,12.616865404264795,3.552022720122268,2.4525709657108083,0.8279528907341152
Decision Tree Regression,17.81558823529412,4.220851600719234,2.7245098039215683,0.7570616506127126
Linear Regression,24.291119474973517,4.928602182665336,3.1890919658878483,0.668759493535632
