model,MSE,RMSE,MAE,R2,CV_RMSE,model_type
Random Forest Regression,7.890017921568628,2.808917571159508,2.0380980392156864,0.8924095064846252,,sklearn_pipeline
Random Forest Tuned,9.14472841627278,3.0240252009982953,2.0850085472421016,0.8752999228707389,3.8098002555277324,sklearn_pipeline
MLP Tuned,9.999813588012833,3.1622481857078886,1.9958230654398597,0.8636397420524295,3.6055232381784648,keras
MLP Regression,15.468253597955645,3.932970073361307,2.540274353588329,0.7890705629608824,4.250440013771391,keras
Decision Tree Tuned,17.64802308791482,4.200955020934504,2.6025576877924657,0.7593466158791705,4.95020441036929,sklearn_pipeline
Decision Tree Regression,17.81558823529412,4.220851600719234,2.7245098039215683,0.7570616506127126,,sklearn_pipeline
Linear Regression,24.291119474973517,4.928602182665336,3.1890919658878483,0.668759493535632,,sklearn_pipeline
